"text"|"favorited"|"favoriteCount"|"replyToSN"|"created"|"truncated"|"replyToSID"|"id"|"replyToUID"|"statusSource"|"screenName"|"retweetCount"|"isRetweet"|"retweeted"|"longitude"|"latitude"
"63"|"RT @Tomvegas1: Trump is pulling minority voters to his side. HRC is desperate."|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877029630603265"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"jimboazil"|3|TRUE|FALSE|NA|NA
"64"|"Poll finds rejection of many of Trump’s views on immigration https://t.co/G6mfoWRkxQ"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877029261533184"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"ktrepani"|0|FALSE|FALSE|NA|NA
"65"|"'A lot of smoke [but] there’s no fire': The former secretary of state continues her pushback against a news report… https://t.co/2Am28Tp3hG"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877029190008832"|NA|"<a href=\"http://dlvr.it\" rel=\"nofollow\">dlvr.it</a>"|"OTGNCanada"|0|FALSE|FALSE|NA|NA
"66"|"RT @RichLowry: If Trump can blithely shift on a signature issue what does it say about justices pledge, when no pretense of caring about co…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877028674244608"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"UNCarolinaNuggs"|405|TRUE|FALSE|NA|NA
"67"|"TRUMP IS A NAZI

RT @JohnKStahlUSA: You really think these people paid these sums because HRC is a ... https://t.co/OQGcqodrYD"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877028313628672"|NA|"<a href=\"http://www.echofon.com/\" rel=\"nofollow\">Echofon</a>"|"1ideaatatime"|0|FALSE|FALSE|NA|NA
"68"|"RT @breakingpol: Donald Trump, at NH rally: Clinton's action as secretary of state 'constituted a major criminal enterprise' https://t.co/O…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877028170956804"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"APGovJacobsen"|3|TRUE|FALSE|NA|NA
"69"|"RT @Anuhint1: @wstaar1 she is blowing it! She's down 10pt in a month! Everyone who opposes Trump voters loses. @KellyAyotte @NatlParkService"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877027998957568"|NA|"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"|"127bama"|1|TRUE|FALSE|NA|NA
"70"|"RT @cincykids: African Americans have been fighting for equality for the last 60 years! Donald Trump condescendingly says  \"WHAT DO YOU HAV…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877027894054912"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"Faithgirlee"|11|TRUE|FALSE|NA|NA
"71"|"RT @FiveRights: .@jockobotzi Trump did not \"soften his stance\" at all. He just clarified to correct media lies. Research before you believe…"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877027541786624"|NA|"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"|"JMo777_1"|49|TRUE|FALSE|NA|NA
"72"|"NY Times' Charles Blow: Trump's Alleged Outreach To Black Voters \"Is The Most Insidious Kind Of Bigotry\" https://t.co/uRThRxHakq"|FALSE|0|NA|2016-08-25 18:25:43|FALSE|NA|"768877027533336576"|NA|"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"|"annie_woodard"|0|FALSE|FALSE|NA|NA
